order_id,order_date,ship_date,customer_id,product_id,quantity,sales,discount,profit,product_name,category,sub_category,unit_cost,list_price,customer_name,segment,region,city,shipping_days,month,year,high_value_order
NM202401299657,2024-01-17,2024-01-23,CU0095,PR524,4,338.04,0.0,74.28,Sketch Pad,Office Supplies,Art,65.94,84.51,Riley Fox,Consumer,South,Atlanta,6,January,2024,No
NM202401259082,2024-01-25,2024-01-29,CU0129,PR514,8,1907.78,0.1,627.54,4-Shelf Case,Furniture,Bookcases,160.03,264.97,Quinn Roy,Home Office,South,Atlanta,4,January,2024,Yes
NM202401117079,2024-01-09,2024-01-14,CU0074,PR506,8,4184.32,0.2,1558.08,Keyboard X,Technology,Accessories,328.28,653.8,Morgan Wood,Consumer,Central,Chicago,5,January,2024,Yes
NM202401303427,2024-01-04,2024-01-10,CU0087,PR501,5,4160.24,0.2,593.19,Galaxy S,Technology,Phones,713.41,1040.06,Sam Roy,Corporate,South,Miami,6,January,2024,Yes
NM202401103230,2024-01-18,2024-01-20,CU0117,PR524,7,532.41,0.1,70.83,Sketch Pad,Office Supplies,Art,65.94,84.51,Alex Hunt,Consumer,South,Atlanta,2,January,2024,No
NM202401933514,2024-01-20,2024-01-24,CU0098,PR518,3,142.06,0.3,40.06,Copy Paper,Office Supplies,Paper,34.0,67.65,Sam Cruz,Home Office,Central,Dallas,4,January,2024,No
NM202401616868,2024-01-14,2024-01-16,CU0080,PR524,4,338.04,0.0,74.28,Sketch Pad,Office Supplies,Art,65.94,84.51,Drew Bell,Corporate,South,Atlanta,2,January,2024,No
NM202401695119,2024-01-24,2024-01-27,CU0098,PR514,8,1907.78,0.1,627.54,4-Shelf Case,Furniture,Bookcases,160.03,264.97,Sam Cruz,Home Office,Central,Dallas,3,January,2024,Yes
NM202401955284,2024-01-10,2024-01-11,CU0220,PR513,6,1371.82,0.1,195.64,Meeting Table,Furniture,Tables,196.03,254.04,Drew Dean,Consumer,Central,Dallas,1,January,2024,Yes
NM202401870835,2024-01-11,2024-01-18,CU0226,PR516,1,8.19,0.15,3.31,Ring Binder,Office Supplies,Binders,4.88,9.64,Quinn Ray,Consumer,East,Boston,7,January,2024,No
NM202401651775,2024-01-29,2024-01-31,CU0048,PR506,2,915.32,0.3,258.76,Keyboard X,Technology,Accessories,328.28,653.8,Alex Dean,Corporate,West,Los Angeles,2,January,2024,No
NM202401823645,2024-01-03,2024-01-09,CU0197,PR501,2,2080.12,0.0,653.3,Galaxy S,Technology,Phones,713.41,1040.06,Casey Fox,Corporate,West,Seattle,6,January,2024,Yes
NM202401739206,2024-01-21,2024-01-23,CU0236,PR503,6,836.41,0.1,247.87,iView 11,Technology,Phones,98.09,154.89,Jamie Lee,Home Office,South,Miami,2,January,2024,No
NM202401643445,2024-01-31,2024-02-01,CU0178,PR502,1,317.2,0.0,154.76,Pixel Mini,Technology,Phones,162.44,317.2,Drew Lee,Consumer,West,Los Angeles,1,January,2024,No
NM202401935076,2024-01-13,2024-01-14,CU0195,PR524,1,67.61,0.2,1.67,Sketch Pad,Office Supplies,Art,65.94,84.51,Riley Bell,Corporate,South,Miami,1,January,2024,No
NM202401721757,2024-01-25,2024-02-01,CU0011,PR514,2,423.95,0.2,103.89,4-Shelf Case,Furniture,Bookcases,160.03,264.97,Quinn Hunt,Consumer,West,Seattle,7,January,2024,No
NM202401888649,2024-01-02,2024-01-08,CU0091,PR505,1,155.39,0.2,42.87,BT Mouse,Technology,Accessories,112.52,194.24,Alex Ray,Home Office,West,Seattle,6,January,2024,No
NM202401201068,2024-01-21,2024-01-21,CU0239,PR511,7,748.5,0.1,309.81,Mesh Chair,Furniture,Chairs,62.67,118.81,Morgan Roy,Corporate,South,Atlanta,0,January,2024,No
NM202401208766,2024-01-16,2024-01-19,CU0159,PR507,6,217.72,0.15,98.62,LaserJet 100,Technology,Machines,19.85,42.69,Morgan Fox,Home Office,Central,Chicago,3,January,2024,No
NM202401419075,2024-01-25,2024-01-28,CU0204,PR507,3,89.65,0.3,30.1,LaserJet 100,Technology,Machines,19.85,42.69,Morgan Bell,Home Office,Central,Dallas,3,January,2024,No
NM202401833775,2024-01-22,2024-01-22,CU0187,PR519,2,20.27,0.1,5.89,Cardstock,Office Supplies,Paper,7.19,11.26,Taylor Bell,Home Office,East,Boston,0,January,2024,No
NM202401829121,2024-01-29,2024-01-29,CU0090,PR521,2,99.6,0.0,23.64,Storage Box,Office Supplies,Storage,37.98,49.8,Riley Bell,Consumer,South,Miami,0,January,2024,No
NM202401785398,2024-01-08,2024-01-10,CU0045,PR502,8,2283.84,0.1,984.32,Pixel Mini,Technology,Phones,162.44,317.2,Quinn Lee,Corporate,South,Miami,2,January,2024,Yes
NM202401692340,2024-01-04,2024-01-11,CU0123,PR515,8,4578.48,0.0,0.0,Corner Case,Furniture,Bookcases,316.78,572.31,Sam Dean,Home Office,Central,Dallas,7,January,2024,Yes
NM202401786822,2024-01-17,2024-01-21,CU0190,PR518,1,47.36,0.3,13.36,Copy Paper,Office Supplies,Paper,34.0,67.65,Quinn Lee,Consumer,East,New York,4,January,2024,No
NM202401914034,2024-01-23,2024-01-26,CU0057,PR511,4,475.24,0.0,224.56,Mesh Chair,Furniture,Chairs,62.67,118.81,Casey Lee,Corporate,Central,Dallas,3,January,2024,No
NM202401582940,2024-01-19,2024-01-24,CU0217,PR523,7,357.21,0.0,86.66,Marker Set,Office Supplies,Art,38.65,51.03,Jordan Cruz,Consumer,Central,Dallas,5,January,2024,No
NM202401296220,2024-01-30,2024-02-06,CU0103,PR506,2,1111.46,0.15,454.9,Keyboard X,Technology,Accessories,328.28,653.8,Quinn Bell,Consumer,South,Miami,7,January,2024,Yes
NM202401943709,2024-01-25,2024-01-30,CU0169,PR513,7,1244.8,0.3,-127.41,Meeting Table,Furniture,Tables,196.03,254.04,Morgan Ray,Home Office,South,Atlanta,5,January,2024,Yes
NM202401605050,2024-01-11,2024-01-12,CU0170,PR515,3,1545.24,0.1,0.0,Corner Case,Furniture,Bookcases,316.78,572.31,Drew Ray,Home Office,South,Atlanta,1,January,2024,Yes
NM202401238986,2024-01-26,2024-01-27,CU0127,PR506,4,1046.08,0.6,-267.04,Keyboard X,Technology,Accessories,328.28,653.8,Morgan Roy,Corporate,South,Miami,1,January,2024,Yes
NM202401703433,2024-01-06,2024-01-08,CU0046,PR520,5,44.55,0.1,18.5,Sticky Notes,Office Supplies,Paper,5.21,9.9,Morgan Bell,Corporate,South,Miami,2,January,2024,No
NM202401946659,2024-01-27,2024-01-29,CU0178,PR518,1,47.36,0.3,13.36,Copy Paper,Office Supplies,Paper,34.0,67.65,Drew Lee,Consumer,West,Los Angeles,2,January,2024,No
NM202401912628,2024-01-06,2024-01-06,CU0179,PR506,2,523.04,0.6,-133.52,Keyboard X,Technology,Accessories,328.28,653.8,Drew Bell,Home Office,South,Atlanta,0,January,2024,No
NM202401550231,2024-01-14,2024-01-19,CU0054,PR512,1,696.95,0.0,189.39,Standing Desk,Furniture,Tables,507.56,696.95,Casey Ray,Corporate,South,Miami,5,January,2024,No
NM202401744331,2024-01-02,2024-01-09,CU0028,PR508,3,585.1,0.15,230.38,InkFlow 20,Technology,Machines,118.24,229.45,Alex Roy,Consumer,East,Boston,7,January,2024,No
NM202401906113,2024-01-31,2024-02-03,CU0010,PR501,3,3120.18,0.0,979.95,Galaxy S,Technology,Phones,713.41,1040.06,Jordan Shah,Consumer,East,New York,3,January,2024,Yes
NM202401329630,2024-01-04,2024-01-05,CU0181,PR519,1,11.26,0.0,4.07,Cardstock,Office Supplies,Paper,7.19,11.26,Casey Dean,Home Office,East,New York,1,January,2024,No
NM202401977321,2024-01-21,2024-01-24,CU0057,PR514,2,529.94,0.0,209.88,4-Shelf Case,Furniture,Bookcases,160.03,264.97,Casey Lee,Corporate,Central,Dallas,3,January,2024,No
NM202401659323,2024-01-27,2024-01-31,CU0057,PR518,5,287.51,0.15,117.51,Copy Paper,Office Supplies,Paper,34.0,67.65,Casey Lee,Corporate,Central,Dallas,4,January,2024,No
NM202401144680,2024-01-12,2024-01-16,CU0126,PR504,3,2183.76,0.0,903.99,USB Hub,Technology,Accessories,426.59,727.92,Quinn Cruz,Consumer,South,Atlanta,4,January,2024,Yes
NM202401196507,2024-01-10,2024-01-12,CU0211,PR519,1,9.57,0.15,2.38,Cardstock,Office Supplies,Paper,7.19,11.26,Jamie Cruz,Consumer,Central,Chicago,2,January,2024,No
NM202401331966,2024-01-26,2024-01-28,CU0187,PR524,8,608.47,0.1,80.95,Sketch Pad,Office Supplies,Art,65.94,84.51,Taylor Bell,Home Office,East,Boston,2,January,2024,No
NM202401283763,2024-01-30,2024-02-01,CU0195,PR520,5,39.6,0.2,13.55,Sticky Notes,Office Supplies,Paper,5.21,9.9,Riley Bell,Corporate,South,Miami,2,January,2024,No
NM202401241318,2024-01-06,2024-01-07,CU0124,PR510,7,1019.09,0.4,-148.58,Task Chair,Furniture,Chairs,166.81,242.64,Alex Bell,Consumer,East,New York,1,January,2024,Yes
NM202401724142,2024-01-06,2024-01-08,CU0045,PR508,3,585.1,0.15,230.38,InkFlow 20,Technology,Machines,118.24,229.45,Quinn Lee,Corporate,South,Miami,2,January,2024,No
NM202401477758,2024-01-30,2024-02-02,CU0083,PR513,2,457.27,0.1,65.21,Meeting Table,Furniture,Tables,196.03,254.04,Taylor Wood,Consumer,Central,Chicago,3,January,2024,No
NM202401595070,2024-01-02,2024-01-07,CU0238,PR503,1,131.66,0.15,33.57,iView 11,Technology,Phones,98.09,154.89,Casey Cruz,Consumer,Central,Dallas,5,January,2024,No
NM202401215949,2024-01-07,2024-01-13,CU0151,PR512,6,2927.19,0.3,-118.17,Standing Desk,Furniture,Tables,507.56,696.95,Jamie Dean,Home Office,Central,Chicago,6,January,2024,Yes
NM202401590690,2024-01-13,2024-01-13,CU0010,PR515,4,2289.24,0.0,1022.12,Corner Case,Furniture,Bookcases,316.78,572.31,Jordan Shah,Consumer,East,New York,0,January,2024,Yes
NM202401372731,2024-01-02,2024-01-06,CU0039,PR502,2,570.96,0.1,246.08,Pixel Mini,Technology,Phones,162.44,317.2,Quinn Roy,Consumer,East,Boston,4,January,2024,No
NM202401762091,2024-01-06,2024-01-13,CU0211,PR520,2,19.8,0.0,9.38,Sticky Notes,Office Supplies,Paper,5.21,9.9,Jamie Cruz,Consumer,Central,Chicago,7,January,2024,No
NM202401410084,2024-01-11,2024-01-16,CU0040,PR507,3,128.07,0.0,68.52,LaserJet 100,Technology,Machines,19.85,42.69,Casey Hunt,Consumer,West,Los Angeles,5,January,2024,No
NM202401103575,2024-01-21,2024-01-26,CU0025,PR522,6,212.62,0.15,80.5,File Cabinet,Office Supplies,Storage,22.02,41.69,Jordan Fox,Consumer,West,Seattle,5,January,2024,No
NM202401750095,2024-01-14,2024-01-19,CU0071,PR515,1,515.08,0.1,198.3,Corner Case,Furniture,Bookcases,316.78,572.31,Riley Wood,Consumer,East,Boston,5,January,2024,No
NM202401879460,2024-01-09,2024-01-09,CU0183,PR505,5,776.96,0.2,214.36,BT Mouse,Technology,Accessories,112.52,194.24,Riley Lee,Corporate,Central,Dallas,0,January,2024,No
NM202401371439,2024-01-23,2024-01-27,CU0109,PR515,5,2861.55,0.0,1277.65,Corner Case,Furniture,Bookcases,316.78,572.31,Casey Cruz,Consumer,Central,Dallas,4,January,2024,Yes
NM202401169552,2024-01-26,2024-01-29,CU0145,PR524,1,67.61,0.2,1.67,Sketch Pad,Office Supplies,Art,65.94,84.51,Jamie Hunt,Corporate,South,Atlanta,3,January,2024,No
NM202401937680,2024-01-02,2024-01-03,CU0126,PR510,5,1213.2,0.0,379.15,Task Chair,Furniture,Chairs,166.81,242.64,Quinn Cruz,Consumer,South,Atlanta,1,January,2024,Yes
NM202401971477,2024-01-29,2024-01-30,CU0145,PR506,2,915.32,0.3,258.76,Keyboard X,Technology,Accessories,328.28,653.8,Jamie Hunt,Corporate,South,Atlanta,1,January,2024,No
NM202401401404,2024-01-12,2024-01-15,CU0207,PR506,6,3530.52,0.1,1560.84,Keyboard X,Technology,Accessories,328.28,653.8,Jordan Ray,Corporate,Central,Dallas,3,January,2024,Yes
NM202401886671,2024-01-30,2024-02-01,CU0059,PR505,6,466.18,0.6,-208.94,BT Mouse,Technology,Accessories,112.52,194.24,Sam Wood,Consumer,South,Atlanta,2,January,2024,No
NM202401622598,2024-01-23,2024-01-23,CU0041,PR516,7,53.98,0.0,19.82,Ring Binder,Office Supplies,Binders,4.88,9.64,Sam Dean,Corporate,South,Miami,0,January,2024,No
NM202401331646,2024-01-01,2024-01-08,CU0222,PR521,8,398.4,0.0,94.56,Storage Box,Office Supplies,Storage,37.98,49.8,Drew Wood,Consumer,West,Los Angeles,7,January,2024,No
NM202401409843,2024-01-03,2024-01-07,CU0212,PR507,5,213.45,0.0,114.2,LaserJet 100,Technology,Machines,19.85,42.69,Jordan Dean,Corporate,East,Boston,4,January,2024,No
NM202401794106,2024-01-30,2024-02-03,CU0196,PR518,6,365.31,0.1,161.31,Copy Paper,Office Supplies,Paper,34.0,67.65,Jamie Lee,Consumer,East,Boston,4,January,2024,No
NM202401289834,2024-01-06,2024-01-12,CU0181,PR506,4,2092.16,0.2,779.04,Keyboard X,Technology,Accessories,328.28,653.8,Casey Dean,Home Office,East,New York,6,January,2024,Yes
NM202401846010,2024-01-27,2024-02-01,CU0100,PR515,4,2289.24,0.0,1022.12,Corner Case,Furniture,Bookcases,316.78,572.31,Alex Hunt,Corporate,Central,Dallas,5,January,2024,Yes
NM202401682290,2024-01-14,2024-01-20,CU0195,PR522,7,291.83,0.0,137.69,File Cabinet,Office Supplies,Storage,22.02,41.69,Riley Bell,Corporate,South,Miami,6,January,2024,No
NM202401829426,2024-01-11,2024-01-15,CU0072,PR501,3,2652.15,0.15,511.92,Galaxy S,Technology,Phones,713.41,1040.06,Jordan Fox,Consumer,South,Atlanta,4,January,2024,Yes
NM202401254521,2024-01-16,2024-01-17,CU0056,PR512,3,1672.68,0.2,150.0,Standing Desk,Furniture,Tables,507.56,696.95,Jordan Wood,Corporate,East,New York,1,January,2024,Yes
NM202401401242,2024-01-19,2024-01-23,CU0239,PR522,8,333.52,0.0,157.36,File Cabinet,Office Supplies,Storage,22.02,41.69,Morgan Roy,Corporate,South,Atlanta,4,January,2024,No
NM202401793006,2024-01-21,2024-01-23,CU0055,PR505,3,524.45,0.1,186.89,BT Mouse,Technology,Accessories,112.52,194.24,Drew Cruz,Corporate,West,Seattle,2,January,2024,No
NM202401518115,2024-01-12,2024-01-19,CU0067,PR502,2,634.4,0.0,309.52,Pixel Mini,Technology,Phones,162.44,317.2,Jamie Hunt,Corporate,East,Boston,7,January,2024,No
NM202401223441,2024-01-03,2024-01-08,CU0051,PR506,3,1765.26,0.1,780.42,Keyboard X,Technology,Accessories,328.28,653.8,Drew Ray,Consumer,South,Atlanta,5,January,2024,Yes
NM202401773930,2024-01-08,2024-01-15,CU0084,PR513,7,1600.45,0.1,228.24,Meeting Table,Furniture,Tables,196.03,254.04,Morgan Hunt,Corporate,South,Atlanta,7,January,2024,Yes
NM202401320561,2024-01-18,2024-01-20,CU0208,PR524,8,574.67,0.15,47.15,Sketch Pad,Office Supplies,Art,65.94,84.51,Morgan Ray,Corporate,West,Seattle,2,January,2024,No
NM202401883795,2024-01-15,2024-01-19,CU0215,PR513,5,889.14,0.3,-91.01,Meeting Table,Furniture,Tables,196.03,254.04,Drew Hunt,Corporate,East,Boston,4,January,2024,No
NM202401608023,2024-01-14,2024-01-21,CU0101,PR502,7,2220.4,0.0,1083.32,Pixel Mini,Technology,Phones,162.44,317.2,Taylor Wood,Corporate,South,Miami,7,January,2024,Yes
NM202401625978,2024-01-25,2024-01-29,CU0113,PR503,3,394.97,0.15,100.7,iView 11,Technology,Phones,98.09,154.89,Taylor Hunt,Corporate,South,Atlanta,4,January,2024,No
NM202401259220,2024-01-12,2024-01-14,CU0035,PR518,1,40.59,0.4,6.59,Copy Paper,Office Supplies,Paper,34.0,67.65,Riley Cruz,Corporate,Central,Dallas,2,January,2024,No
NM202401166881,2024-01-21,2024-01-28,CU0185,PR501,1,936.05,0.1,222.64,Galaxy S,Technology,Phones,713.41,1040.06,Sam Shah,Consumer,East,New York,7,January,2024,No
NM202401562537,2024-01-11,2024-01-17,CU0159,PR519,1,10.13,0.1,2.94,Cardstock,Office Supplies,Paper,7.19,11.26,Morgan Fox,Home Office,Central,Chicago,6,January,2024,No
NM202401644142,2024-01-25,2024-01-26,CU0202,PR513,1,228.64,0.1,32.61,Meeting Table,Furniture,Tables,196.03,254.04,Alex Wood,Corporate,Central,Chicago,1,January,2024,No
NM202401946992,2024-01-22,2024-01-22,CU0197,PR508,4,367.12,0.6,-105.84,InkFlow 20,Technology,Machines,118.24,229.45,Casey Fox,Corporate,West,Seattle,0,January,2024,No
NM202401177263,2024-01-22,2024-01-29,CU0214,PR519,2,18.02,0.2,3.64,Cardstock,Office Supplies,Paper,7.19,11.26,Quinn Dean,Home Office,Central,Chicago,7,January,2024,No
NM202401683790,2024-01-12,2024-01-18,CU0206,PR522,5,187.6,0.1,77.5,File Cabinet,Office Supplies,Storage,22.02,41.69,Morgan Shah,Consumer,East,New York,6,January,2024,No
NM202401886209,2024-01-20,2024-01-21,CU0090,PR520,3,11.88,0.0,-3.75,Sticky Notes,Office Supplies,Paper,5.21,9.9,Riley Bell,Consumer,South,Miami,1,January,2024,No
NM202401464297,2024-01-24,2024-01-24,CU0002,PR524,5,253.53,0.4,-76.17,Sketch Pad,Office Supplies,Art,65.94,84.51,Alex Lee,Consumer,West,Seattle,0,January,2024,No
NM202401672506,2024-01-18,2024-01-20,CU0143,PR520,5,29.7,0.4,3.65,Sticky Notes,Office Supplies,Paper,5.21,9.9,Riley Ray,Corporate,South,Atlanta,2,January,2024,No
NM202401185288,2024-01-18,2024-01-24,CU0028,PR502,6,1903.2,0.0,928.56,Pixel Mini,Technology,Phones,162.44,317.2,Alex Roy,Consumer,East,Boston,6,January,2024,Yes
NM202401528070,2024-01-26,2024-01-31,CU0155,PR521,4,79.68,0.6,-72.24,Storage Box,Office Supplies,Storage,37.98,49.8,Sam Wood,Consumer,South,Atlanta,5,January,2024,No
NM202401219830,2024-01-09,2024-01-11,CU0118,PR512,6,4181.7,0.0,1136.34,Standing Desk,Furniture,Tables,507.56,696.95,Alex Lee,Consumer,South,Miami,2,January,2024,Yes
NM202401551970,2024-01-01,2024-01-01,CU0237,PR502,1,269.62,0.15,107.18,Pixel Mini,Technology,Phones,162.44,317.2,Jordan Ray,Consumer,West,Seattle,0,January,2024,No
NM202401744323,2024-01-11,2024-01-11,CU0126,PR504,1,618.73,0.15,192.14,USB Hub,Technology,Accessories,426.59,727.92,Quinn Cruz,Consumer,South,Atlanta,0,January,2024,No
NM202401810526,2024-01-01,2024-01-01,CU0080,PR513,6,1371.82,0.1,195.64,Meeting Table,Furniture,Tables,196.03,254.04,Drew Bell,Corporate,South,Atlanta,0,January,2024,Yes
NM202401978860,2024-01-11,2024-01-16,CU0118,PR502,4,1268.8,0.0,619.04,Pixel Mini,Technology,Phones,162.44,317.2,Alex Lee,Consumer,South,Miami,5,January,2024,Yes
NM202401881254,2024-01-22,2024-01-23,CU0014,PR509,4,2119.9,0.2,775.06,Shredder S,Technology,Machines,336.21,662.47,Alex Lee,Corporate,South,Atlanta,1,January,2024,Yes
NM202401212151,2024-01-14,2024-01-20,CU0138,PR513,8,2032.32,0.0,464.08,Meeting Table,Furniture,Tables,196.03,254.04,Casey Dean,Home Office,South,Atlanta,6,January,2024,Yes
NM202401211208,2024-01-18,2024-01-21,CU0027,PR524,8,676.08,0.0,148.56,Sketch Pad,Office Supplies,Art,65.94,84.51,Jamie Shah,Consumer,East,New York,3,January,2024,No
NM202401636965,2024-01-31,2024-02-05,CU0196,PR524,6,507.06,0.0,111.42,Sketch Pad,Office Supplies,Art,65.94,84.51,Jamie Lee,Consumer,East,Boston,5,January,2024,No
NM202401320736,2024-01-08,2024-01-14,CU0127,PR521,2,99.6,0.0,23.64,Storage Box,Office Supplies,Storage,37.98,49.8,Morgan Roy,Corporate,South,Miami,6,January,2024,No
NM202401225669,2024-01-23,2024-01-26,CU0194,PR521,5,174.3,0.3,-15.6,Storage Box,Office Supplies,Storage,37.98,49.8,Casey Bell,Consumer,West,Seattle,3,January,2024,No
NM202401114025,2024-01-31,2024-02-07,CU0157,PR513,1,101.62,0.6,-94.41,Meeting Table,Furniture,Tables,196.03,254.04,Sam Ray,Corporate,South,Atlanta,7,January,2024,No
NM202401898343,2024-01-01,2024-01-06,CU0002,PR506,8,4445.84,0.15,1819.6,Keyboard X,Technology,Accessories,328.28,653.8,Alex Lee,Consumer,West,Seattle,5,January,2024,Yes
NM202401459301,2024-01-20,2024-01-26,CU0124,PR513,2,508.08,0.0,116.02,Meeting Table,Furniture,Tables,196.03,254.04,Alex Bell,Consumer,East,New York,6,January,2024,No
NM202401876281,2024-01-10,2024-01-11,CU0101,PR524,3,152.12,0.4,-45.7,Sketch Pad,Office Supplies,Art,65.94,84.51,Taylor Wood,Corporate,South,Miami,1,January,2024,No
NM202401666650,2024-01-04,2024-01-08,CU0134,PR515,5,2861.55,0.0,1277.65,Corner Case,Furniture,Bookcases,316.78,572.31,Morgan Fox,Home Office,Central,Chicago,4,January,2024,Yes
NM202401655820,2024-01-11,2024-01-18,CU0232,PR510,1,242.64,0.0,75.83,Task Chair,Furniture,Chairs,166.81,242.64,Casey Ray,Consumer,Central,Chicago,7,January,2024,No
NM202401657367,2024-01-13,2024-01-14,CU0020,PR512,3,836.34,0.6,-686.34,Standing Desk,Furniture,Tables,507.56,696.95,Drew Ray,Corporate,Central,Dallas,1,January,2024,No
NM202401886167,2024-01-13,2024-01-14,CU0093,PR515,4,2289.24,0.0,1022.12,Corner Case,Furniture,Bookcases,316.78,572.31,Taylor Bell,Consumer,East,New York,1,January,2024,Yes
NM202401246686,2024-01-01,2024-01-08,CU0034,PR502,5,634.4,0.6,-177.8,Pixel Mini,Technology,Phones,162.44,317.2,Quinn Bell,Corporate,East,New York,7,January,2024,No
NM202401927812,2024-01-15,2024-01-18,CU0143,PR512,2,975.73,0.3,-39.39,Standing Desk,Furniture,Tables,507.56,696.95,Riley Ray,Corporate,South,Atlanta,3,January,2024,No
NM202401508497,2024-01-23,2024-01-24,CU0113,PR505,5,388.48,0.6,-174.12,BT Mouse,Technology,Accessories,112.52,194.24,Taylor Hunt,Corporate,South,Atlanta,1,January,2024,No
NM202401695852,2024-01-20,2024-01-25,CU0052,PR506,5,2778.65,0.15,1137.25,Keyboard X,Technology,Accessories,328.28,653.8,Sam Hunt,Home Office,East,Boston,5,January,2024,Yes
NM202401339315,2024-01-06,2024-01-12,CU0113,PR515,4,1831.39,0.2,564.27,Corner Case,Furniture,Bookcases,316.78,572.31,Taylor Hunt,Corporate,South,Atlanta,6,January,2024,Yes
NM202401257247,2024-01-16,2024-01-17,CU0026,PR511,2,237.62,0.0,112.28,Mesh Chair,Furniture,Chairs,62.67,118.81,Casey Roy,Consumer,South,Atlanta,1,January,2024,No
NM202401641485,2024-01-13,2024-01-19,CU0084,PR512,5,2962.04,0.15,424.24,Standing Desk,Furniture,Tables,507.56,696.95,Morgan Hunt,Corporate,South,Atlanta,6,January,2024,Yes
NM202401573061,2024-01-11,2024-01-13,CU0087,PR507,4,145.15,0.15,65.75,LaserJet 100,Technology,Machines,19.85,42.69,Sam Roy,Corporate,South,Miami,2,January,2024,No
NM202401146693,2024-01-20,2024-01-23,CU0039,PR507,7,298.83,0.0,159.88,LaserJet 100,Technology,Machines,19.85,42.69,Quinn Roy,Consumer,East,Boston,3,January,2024,No
NM202401846263,2024-01-23,2024-01-24,CU0078,PR501,3,2496.14,0.2,355.91,Galaxy S,Technology,Phones,713.41,1040.06,Taylor Ray,Consumer,South,Miami,1,January,2024,Yes
NM202401635476,2024-01-22,2024-01-26,CU0068,PR503,6,650.54,0.3,62.0,iView 11,Technology,Phones,98.09,154.89,Jamie Ray,Consumer,West,Seattle,4,January,2024,No
NM202401256262,2024-01-29,2024-01-30,CU0049,PR514,8,1801.8,0.15,521.56,4-Shelf Case,Furniture,Bookcases,160.03,264.97,Sam Bell,Corporate,Central,Dallas,1,January,2024,Yes
NM202401201901,2024-01-02,2024-01-06,CU0169,PR504,3,2183.76,0.0,903.99,USB Hub,Technology,Accessories,426.59,727.92,Morgan Ray,Home Office,South,Atlanta,4,January,2024,Yes
NM202401186211,2024-01-07,2024-01-07,CU0149,PR512,4,2787.8,0.0,757.56,Standing Desk,Furniture,Tables,507.56,696.95,Morgan Cruz,Corporate,West,Los Angeles,0,January,2024,Yes
NM202401256017,2024-01-09,2024-01-16,CU0145,PR514,8,1907.78,0.1,627.54,4-Shelf Case,Furniture,Bookcases,160.03,264.97,Jamie Hunt,Corporate,South,Atlanta,7,January,2024,Yes
